cond,hasStar,rest,stim
emoji,0,6000,10 04 01 20 14 12 11 09 06 07 17 05 03 13 15 19 16 02 18 08
Mu,0,6000,05 01 16 06 20 02 15 14 09 10 17 11 07 19 04 12 18 03 08 13
face,0,6000,02 08 19 15 07 09 13 10 11 01 18 20 17 14 04 03 16 05 06 12
Mu,1,6000,15 18 12 06 14 17 03 08 19 00 01 02 04 20 16 13 07 10 05 11
emoji,1,6000,14 20 13 15 07 06 01 00 19 03 11 17 02 08 12 16 10 18 05 04
Mu,0,6000,13 02 16 12 01 07 18 08 04 10 09 06 15 05 11 17 03 20 19 14
wordEF,1,6000,07 03 20 16 12 11 00 14 18 05 19 02 08 15 09 13 17 10 04 06
face,0,6000,06 08 19 11 15 07 17 05 10 03 09 18 12 16 20 02 13 04 01 14
wordC,0,6000,18 07 01 05 08 16 20 13 12 11 17 06 02 14 10 19 04 09 15 03
wordEF,1,6000,08 01 18 14 12 19 06 05 07 16 03 00 09 02 11 10 20 04 15 13
wordEF,1,6000,12 02 20 16 14 11 18 00 09 05 19 04 03 15 08 10 07 06 13 17
wordEF,0,6000,02 05 13 15 19 09 03 14 18 20 06 10 16 11 04 17 08 12 07 01
wordEF,0,6000,05 18 06 01 16 07 12 20 08 19 10 15 17 02 03 14 09 11 04 13
face,0,6000,11 14 12 16 13 06 17 10 15 20 09 07 02 19 04 08 01 18 03 05
wordC,0,6000,16 18 15 13 08 09 11 02 04 12 17 06 07 01 05 20 03 14 19 10
emoji,1,6000,20 11 06 08 19 01 12 07 18 17 04 15 02 03 10 09 00 14 05 16
wordC,0,6000,06 03 18 13 01 11 20 17 04 19 05 10 08 02 14 09 16 12 15 07
wordEF,0,6000,07 20 17 14 11 19 08 09 15 06 05 12 16 10 03 02 01 13 18 04
