onset,type,stim
2000,picture,finger.png
5000,blank,
15000,picture,write.png
19000,blank,
21000,text,stress
31000,picture,write.png
35000,blank,
37000,text,tennis
47000,picture,finger.png
53000,blank,
63000,picture,write.png
67000,blank,
69000,text,vision
79000,picture,finger.png
85000,blank,
95000,picture,finger.png
101000,blank,
111000,picture,write.png
115000,blank,
117000,text,basket
127000,picture,finger.png
133000,blank,
143000,picture,write.png
147000,blank,
149000,text,nation
159000,picture,write.png
163000,blank,
165000,text,signal
175000,picture,finger.png
181000,blank,
