onset,type,stim
2000,sound,fur-elise-beethoven.wav
15000,sound,stop.wav
21000,sound,invite_FEMALE_C.wav
27000,sound,signal_MALE_G.wav
33000,sound,stop.wav
39000,sound,fur-elise-beethoven.wav
52000,sound,stop.wav
58000,sound,garage_FEMALE_C.wav
64000,sound,nation_MALE_G.wav
70000,sound,stop.wav
76000,sound,fur-elise-beethoven.wav
89000,sound,stop.wav
95000,sound,temple_FEMALE_C.wav
101000,sound,tunnel_MALE_G.wav
107000,sound,stop.wav
113000,sound,fur-elise-beethoven.wav
126000,sound,stop.wav
132000,sound,action_MALE_G.wav
138000,sound,phrase_MALE_G.wav
144000,sound,stop.wav
150000,sound,fur-elise-beethoven.wav
163000,sound,stop.wav
169000,sound,budget_FEMALE_C.wav
175000,sound,client_FEMALE_C.wav
181000,sound,stop.wav
187000,sound,fur-elise-beethoven.wav
200000,sound,stop.wav
206000,sound,garage_MALE_G.wav
212000,sound,action_FEMALE_C.wav
218000,sound,stop.wav
