Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
clide,PSS,5,,Visual,Speech,4.5
hueur,PSC,5,,Visual,Speech,5.0
prune,RSLS,5,,Visual,Speech,4.0
simple,RSHS,6,,Visual,Speech,6.0
amitié,RSHC,6,,Visual,Speech,5.5
samouraï,RLLS,8,,Visual,Speech,6.0
industrie,RLHS,9,,Visual,Speech,5.0
sonsuaine,PLS,9,,Visual,Speech,4.0
cabariste,PLC,9,,Visual,Speech,5.0
élimé,RSLC,5,,Visual,Speech,4.5
décrypter,RLLC,9,,Visual,Speech,5.0
deuxième,RLHC,8,,Visual,Speech,5.5
plivie,PSS,6,plivie_FEMALE_C.wav,Audio,Speech,5.0
invisible,RLHC,9,invisible_FEMALE_C.wav,Audio,Speech,5.0
étoda,PSC,5,étoda_FEMALE_C.wav,Audio,Speech,5.5
bulbe,RSLS,5,bulbe_MALE_G.wav,Audio,Speech,4.5
kangourou,RLLS,9,kangourou_FEMALE_C.wav,Audio,Speech,5.0
prénoule,PLC,8,prénoule_FEMALE_C.wav,Audio,Speech,4.5
jardin,RSHS,6,jardin_MALE_G.wav,Audio,Speech,5.0
idéal,RSHC,5,idéal_MALE_G.wav,Audio,Speech,4.0
roupiote,PLS,8,roupiote_MALE_G.wav,Audio,Speech,4.0
mielleux,RLLC,8,mielleux_FEMALE_C.wav,Audio,Speech,6.0
terasse,RLHS,8,terasse_FEMALE_C.wav,Audio,Speech,6.0
musclé,RSLC,6,musclé_FEMALE_C.wav,Audio,Speech,5.5
surpu,PSC,5,,Visual,Write,9.5
carpe,RSLS,5,,Visual,Write,9.0
enfui,RSLC,5,,Visual,Write,10.5
incompoir,PLC,9,,Visual,Write,9.0
brambouse,PLS,9,,Visual,Write,10.0
survie,RSHC,6,,Visual,Write,10.0
frontière,RLHS,9,,Visual,Write,10.0
intellect,RLLS,9,,Visual,Write,11.0
mobilité,RLHC,8,,Visual,Write,10.0
décompose,RLLC,9,,Visual,Write,10.5
fleur,RSHS,5,,Visual,Write,11.0
vithe,PSS,5,,Visual,Write,9.5
vitré,RSLC,5,vitré _FEMALE_C.wav,Audio,Write,10.0
sûrement,RLHC,8,sûrement_FEMALE_C.wav,Audio,Write,10.5
scandale,RLHS,8,scandale_MALE_G.wav,Audio,Write,9.0
nonlexie,PLC,8,nonlexie_FEMALE_C.wav,Audio,Write,9.0
gnome,RSLS,5,gnome_FEMALE_C.wav,Audio,Write,11.0
duage,PSC,5,duage_MALE_G.wav,Audio,Write,11.0
crapuleux,RLLC,9,crapuleux_MALE_G.wav,Audio,Write,10.0
neunièle,PLS,8,neunièle_MALE_G.wav,Audio,Write,10.5
diole,PSS,5,diole_MALE_G.wav,Audio,Write,10.0
genièvre,RLLS,8,genièvre_MALE_G.wav,Audio,Write,9.5
rachat,RSHC,6,rachat_MALE_G.wav,Audio,Write,9.5
soleil,RSHS,6,soleil_FEMALE_C.wav,Audio,Write,10.0
