Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
remporté,RLHC,8,remporté_FEMALE_C.wav,Audio,Speech,5.0
catalogue,RLHS,9,catalogue_FEMALE_C.wav,Audio,Speech,4.0
jardin,RSHS,6,jardin_FEMALE_C.wav,Audio,Speech,5.5
sonsuaine,PLS,9,sonsuaine_FEMALE_C.wav,Audio,Speech,6.0
girafe,RSLS,6,girafe_MALE_G.wav,Audio,Speech,6.0
exhara,PSC,6,exhara_FEMALE_C.wav,Audio,Speech,4.0
blasphème,RLLS,9,blasphème_MALE_G.wav,Audio,Speech,5.5
crémosant,PLC,9,crémosant_MALE_G.wav,Audio,Speech,5.0
survie,RSHC,6,survie_FEMALE_C.wav,Audio,Speech,4.5
rasage,RSLC,6,rasage_MALE_G.wav,Audio,Speech,5.0
plivie,PSS,6,plivie_MALE_G.wav,Audio,Speech,5.0
surestimé,RLLC,9,surestimé_MALE_G.wav,Audio,Speech,4.5
cireux,RSLC,6,,Visual,Speech,6.0
séquence,RLHS,8,,Visual,Speech,4.0
brumeuse,RLLC,8,,Visual,Speech,5.0
matricule,RLLS,9,,Visual,Speech,4.5
glonable,PLC,8,,Visual,Speech,6.0
poursuit,RLHC,8,,Visual,Speech,5.0
carpe,RSLS,5,,Visual,Speech,5.5
désac,PSC,5,,Visual,Speech,5.0
frémoule,PLS,8,,Visual,Speech,5.0
sapis,PSS,5,,Visual,Speech,4.0
tueur,RSHC,5,,Visual,Speech,4.5
tarif,RSHS,5,,Visual,Speech,5.5
rudement,RLLC,8,,Visual,Write,10.0
usité,RSLC,5,,Visual,Write,11.0
slagé,PSC,5,,Visual,Write,10.0
salpêtre,RLLS,8,,Visual,Write,10.0
tartifuge,PLS,9,,Visual,Write,9.5
orchestre,RLHS,9,,Visual,Write,9.0
buide,PSS,5,,Visual,Write,10.0
morse,RSLS,5,,Visual,Write,10.5
génial,RSHC,6,,Visual,Write,9.5
également,RLHC,9,,Visual,Write,11.0
lapin,RSHS,5,,Visual,Write,10.5
rentonice,PLC,9,,Visual,Write,9.0
détria,PSC,6,détria_MALE_G.wav,Audio,Write,10.5
persil,RSLS,6,persil_MALE_G.wav,Audio,Write,9.5
arcove,PSS,6,arcove_MALE_G.wav,Audio,Write,10.0
fuselé,RSLC,6,fuselé_FEMALE_C.wav,Audio,Write,10.5
matraque,RLLS,8,matraque_MALE_G.wav,Audio,Write,10.0
évandesin,PLS,9,évandesin_FEMALE_C.wav,Audio,Write,9.0
siècle,RSHS,6,siècle_MALE_G.wav,Audio,Write,10.0
ignorance,RLHC,9,ignorance_MALE_G.wav,Audio,Write,9.5
décompose,RLLC,9,décompose_MALE_G.wav,Audio,Write,11.0
récortune,PLC,9,récortune_FEMALE_C.wav,Audio,Write,10.0
étiquette,RLHS,9,étiquette_FEMALE_C.wav,Audio,Write,9.0
remet,RSHC,5,remet_FEMALE_C.wav,Audio,Write,11.0
