Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
duage,PSC,5,duage_FEMALE_C.wav,Audio,Speech,4.0
écrevisse,RLLS,9,écrevisse_FEMALE_C.wav,Audio,Speech,4.0
parallèle,RLHS,9,parallèle_MALE_G.wav,Audio,Speech,5.5
besogneux,RLLC,9,besogneux_FEMALE_C.wav,Audio,Speech,4.5
arcove,PSS,6,arcove_FEMALE_C.wav,Audio,Speech,4.5
dèche,RSLS,5,dèche_MALE_G.wav,Audio,Speech,5.0
tartifuge,PLS,9,tartifuge_FEMALE_C.wav,Audio,Speech,5.0
hâtif,RSLC,5,hâtif_MALE_G.wav,Audio,Speech,5.0
génial,RSHC,6,génial_MALE_G.wav,Audio,Speech,5.0
tombe,RSHS,5,tombe_FEMALE_C.wav,Audio,Speech,6.0
humanité,RLHC,8,humanité_MALE_G.wav,Audio,Speech,5.5
déconnal,PLC,8,déconnal_MALE_G.wav,Audio,Speech,6.0
brambouse,PLS,9,,Visual,Type,9.5
corset,RSLS,6,,Visual,Type,11.0
indiscret,RLLC,9,,Visual,Type,9.0
tapis,RSHS,5,,Visual,Type,10.5
ancré,RSLC,5,,Visual,Type,9.5
sûreté,RSHC,6,,Visual,Type,10.5
terasse,RLHS,8,,Visual,Type,10.0
déforion,PLC,8,,Visual,Type,10.0
seringue,RLLS,8,,Visual,Type,10.0
deuxième,RLHC,8,,Visual,Type,11.0
lodeur,PSC,6,,Visual,Type,9.0
nacule,PSS,6,,Visual,Type,10.0
complexe,RLHS,8,,Visual,Speech,5.0
buide,PSS,5,,Visual,Speech,5.5
crapuleux,RLLC,9,,Visual,Speech,4.0
morse,RSLS,5,,Visual,Speech,5.5
surpu,PSC,5,,Visual,Speech,6.0
dégel,RSLC,5,,Visual,Speech,5.0
genièvre,RLLS,8,,Visual,Speech,5.0
érogieuse,PLC,9,,Visual,Speech,6.0
carluque,PLS,8,,Visual,Speech,5.0
lapin,RSHS,5,,Visual,Speech,4.5
également,RLHC,9,,Visual,Speech,4.0
idéal,RSHC,5,,Visual,Speech,4.5
chalgame,PLS,8,chalgame_MALE_G.wav,Audio,Type,9.0
noblesse,RLHC,8,noblesse_FEMALE_C.wav,Audio,Type,10.0
luisante,RLLC,8,luisante_MALE_G.wav,Audio,Type,9.5
langouste,RLLS,9,langouste_FEMALE_C.wav,Audio,Type,10.0
phénomène,RLHS,9,phénomène_MALE_G.wav,Audio,Type,11.0
dénoya,PSC,6,dénoya_MALE_G.wav,Audio,Type,10.0
rivide,PSS,6,rivide_MALE_G.wav,Audio,Type,9.5
plantissé,PLC,9,plantissé_MALE_G.wav,Audio,Type,11.0
rôdeur,RSLC,6,rôdeur_FEMALE_C.wav,Audio,Type,10.5
argent,RSHS,6,argent_MALE_G.wav,Audio,Type,10.0
légume,RSLS,6,légume_FEMALE_C.wav,Audio,Type,10.5
final,RSHC,5,final_MALE_G.wav,Audio,Type,9.0
