Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
bransier,PLC,8,,Visual,Type,10.0
berlue,PSS,6,,Visual,Type,10.0
chalgame,PLS,8,,Visual,Type,10.0
gluant,RSLC,6,,Visual,Type,11.0
scandale,RLHS,8,,Visual,Type,9.0
tatoueur,RLLC,8,,Visual,Type,9.5
frime,RSLS,5,,Visual,Type,10.0
rachat,RSHC,6,,Visual,Type,11.0
duage,PSC,5,,Visual,Type,10.5
tarif,RSHS,5,,Visual,Type,9.0
doucement,RLHC,9,,Visual,Type,9.5
samouraï,RLLS,8,,Visual,Type,10.5
détria,PSC,6,détria_MALE_G.wav,Audio,Type,10.0
catalogue,RLHS,9,catalogue_FEMALE_C.wav,Audio,Type,10.0
feque,PSS,5,feque_FEMALE_C.wav,Audio,Type,10.0
invisible,RLHC,9,invisible_FEMALE_C.wav,Audio,Type,10.5
brumeuse,RLLC,8,brumeuse_FEMALE_C.wav,Audio,Type,9.0
ritourque,PLS,9,ritourque_MALE_G.wav,Audio,Type,11.0
musclé,RSLC,6,musclé_FEMALE_C.wav,Audio,Type,9.5
beauté,RSHC,6,beauté_FEMALE_C.wav,Audio,Type,11.0
simple,RSHS,6,simple_MALE_G.wav,Audio,Type,9.5
matraque,RLLS,8,matraque_MALE_G.wav,Audio,Type,10.5
dèche,RSLS,5,dèche_FEMALE_C.wav,Audio,Type,9.0
alincère,PLC,8,alincère_MALE_G.wav,Audio,Type,10.0
ambre,RSLS,5,ambre_FEMALE_C.wav,Audio,Speech,6.0
téralemet,PLS,9,téralemet_FEMALE_C.wav,Audio,Speech,4.0
carichier,PLC,9,carichier_FEMALE_C.wav,Audio,Speech,4.5
moulin,RSHS,6,moulin_MALE_G.wav,Audio,Speech,5.5
intellect,RLLS,9,intellect_MALE_G.wav,Audio,Speech,5.0
crypté,RSLC,6,crypté_MALE_G.wav,Audio,Speech,5.0
mobilité,RLHC,8,mobilité_MALE_G.wav,Audio,Speech,4.5
lacèle,PSS,6,lacèle_MALE_G.wav,Audio,Speech,4.0
unité,RSHC,5,unité_FEMALE_C.wav,Audio,Speech,5.0
exhara,PSC,6,exhara_MALE_G.wav,Audio,Speech,5.5
problème,RLHS,8,problème_MALE_G.wav,Audio,Speech,6.0
surestimé,RLLC,9,surestimé_MALE_G.wav,Audio,Speech,5.0
rivide,PSS,6,,Visual,Speech,6.0
saison,RSHS,6,,Visual,Speech,4.0
fuselé,RSLC,6,,Visual,Speech,5.0
peinture,RLHC,8,,Visual,Speech,5.0
carpe,RSLS,5,,Visual,Speech,5.5
détraqué,RLLC,8,,Visual,Speech,4.5
gariplete,PLS,9,,Visual,Speech,4.5
enjot,PSC,5,,Visual,Speech,5.5
victoire,RLHS,8,,Visual,Speech,4.0
emeraude,RLLS,8,,Visual,Speech,5.0
fierté,RSHC,6,,Visual,Speech,6.0
révoutir,PLC,8,,Visual,Speech,5.0
