Word,Condition,Wordlength,Audio File,Input Modality,Output Modality,Trial Duration
arcove,PSS,6,arcove_FEMALE_C.wav,Audio,Speech,6.0
emeraude,RLLS,8,emeraude_MALE_G.wav,Audio,Speech,4.5
saison,RSHS,6,saison_FEMALE_C.wav,Audio,Speech,5.0
nacre,RSLS,5,nacre_MALE_G.wav,Audio,Speech,5.0
crémosant,PLC,9,crémosant_MALE_G.wav,Audio,Speech,5.5
complexe,RLHS,8,complexe_MALE_G.wav,Audio,Speech,6.0
noblesse,RLHC,8,noblesse_FEMALE_C.wav,Audio,Speech,5.5
étoda,PSC,5,étoda_MALE_G.wav,Audio,Speech,4.0
rudement,RLLC,8,rudement_MALE_G.wav,Audio,Speech,5.0
tartifuge,PLS,9,tartifuge_MALE_G.wav,Audio,Speech,5.0
musclé,RSLC,6,musclé_FEMALE_C.wav,Audio,Speech,4.5
sûreté,RSHC,6,sûreté_FEMALE_C.wav,Audio,Speech,4.0
fuselé,RSLC,6,,Visual,Write,10.0
luisante,RLLC,8,,Visual,Write,9.0
bransier,PLC,8,,Visual,Write,10.0
confetti,RLLS,8,,Visual,Write,11.0
caractère,RLHS,9,,Visual,Write,10.5
fribuste,PLS,8,,Visual,Write,10.0
siège,RSHS,5,,Visual,Write,9.5
marim,PSS,5,,Visual,Write,10.5
usage,RSHC,5,,Visual,Write,9.5
récumi,PSC,6,,Visual,Write,11.0
doucement,RLHC,9,,Visual,Write,10.0
légume,RSLS,6,,Visual,Write,9.0
chocolat,RLHS,8,chocolat_FEMALE_C.wav,Audio,Write,10.5
nacule,PSS,6,nacule_MALE_G.wav,Audio,Write,11.0
enjot,PSC,5,enjot_MALE_G.wav,Audio,Write,9.0
gariplete,PLS,9,gariplete_FEMALE_C.wav,Audio,Write,10.0
forcément,RLHC,9,forcément_MALE_G.wav,Audio,Write,10.5
déconnal,PLC,8,déconnal_MALE_G.wav,Audio,Write,10.0
prévu,RSHC,5,prévu_FEMALE_C.wav,Audio,Write,10.0
prune,RSLS,5,prune_FEMALE_C.wav,Audio,Write,9.0
crapuleux,RLLC,9,crapuleux_FEMALE_C.wav,Audio,Write,10.0
mammouth,RLLS,8,mammouth_FEMALE_C.wav,Audio,Write,11.0
argent,RSHS,6,argent_FEMALE_C.wav,Audio,Write,9.5
irisé,RSLC,5,irisé_MALE_G.wav,Audio,Write,9.5
apleté,PSC,6,,Visual,Speech,6.0
tapis,RSHS,5,,Visual,Speech,5.0
roupiote,PLS,8,,Visual,Speech,5.5
langouste,RLLS,9,,Visual,Speech,4.5
corset,RSLS,6,,Visual,Speech,5.0
alincère,PLC,8,,Visual,Speech,4.0
grillagée,RLLC,9,,Visual,Speech,5.0
nageur,RSLC,6,,Visual,Speech,4.0
fierté,RSHC,6,,Visual,Speech,5.0
vithe,PSS,5,,Visual,Speech,5.5
ignorance,RLHC,9,,Visual,Speech,6.0
problème,RLHS,8,,Visual,Speech,4.5
